Date,Withdrawls,Deposits,UPI
08/04/2022,"1,000.00",,no
08/04/2022,"3,000.00",,yes
08/04/2022,"6,627.75",,no
08/04/2022,"4,832.00",,no
08/04/2022,"2,000.00",,yes
08/04/2022,500,,yes
08/04/2022,500,,yes
08/04/2022,5,,yes
08/05/2022,210,,yes
08/05/2022,"1,000.00",,yes
08/05/2022,500,,yes
08/06/2022,171,,no
08/06/2022,200,,yes
08/07/2022,"10,000.00",,no
08/07/2022,21,,no
08/07/2022,3.78,,no
08/07/2022,"5,000.00",,no
08/07/2022,21,,no
08/07/2022,3.78,,no
08/07/2022,"1,000.00",,yes
08/08/2022,149,,yes
08/08/2022,"1,300.00",,yes
08/08/2022,,150,no
08/08/2022,480,,no
08/09/2022,,10,no
08/10/2022,"1,323.00",,no
08/11/2022,500,,no
08/11/2022,21,,no
08/11/2022,3.78,,no
08/11/2022,20,,yes
08/11/2022,565,,yes
08/11/2022,,280,no
08/11/2022,"1,120.00",,yes
08/12/2022,418,,yes
08/13/2022,287,,yes
08/13/2022,"2,159.00",,yes
08/14/2022,75,,yes
08/14/2022,14.45,,yes
08/14/2022,45,,yes
08/15/2022,149,,yes
08/15/2022,50,,yes
08/15/2022,94,,yes
08/16/2022,30,,yes
08/16/2022,"8,000.00",,no
08/16/2022,21,,no
08/16/2022,3.78,,no
08/16/2022,2,,yes
08/16/2022,428.82,,no
08/16/2022,942,,no
08/16/2022,500,,yes
08/17/2022,436,,no
08/17/2022,50,,yes
08/17/2022,30,,yes
08/17/2022,45,,yes
08/19/2022,100,,yes
08/19/2022,400,,yes
08/22/2022,"1,994.00",,no
08/22/2022,619,,no
08/23/2022,"10,000.00",,no
08/23/2022,21,,no
08/23/2022,3.78,,no
08/23/2022,"10,000.00",,no
08/23/2022,21,,no
08/23/2022,3.78,,no
08/23/2022,149,,yes
08/24/2022,280,,yes
08/25/2022,100,,yes
08/25/2022,19,,yes
08/27/2022,200,,yes
08/27/2022,10,,yes
08/28/2022,149,,yes
08/29/2022,100,,yes
08/30/2022,15,,yes
08/31/2022,,567,no
09/01/2022,10000,,no
09/01/2022,10000,,no
09/02/2022,17.7,,no
09/03/2022,1009,,no
09/06/2022,,1500,no
09/09/2022,149,,yes
09/09/2022,149,,yes
09/09/2022,149,,yes
09/09/2022,500,,no
10/09/2022,700,,no
10/09/2022,21,,no
10/09/2022,3.78,,no
10/09/2022,70,,yes
10/09/2022,,70,no
11/09/2022,3000,,no
12/09/2022,6000,,no
12/09/2022,21,,no
12/09/2022,3.78,,no
09/13/2022,2000,,no
09/13/2022,21,,no
09/13/2022,3.78,,no
09/13/2022,1948,,yes
09/13/2022,20,,yes
09/14/2022,2000,,no
09/14/2022,21,,no
09/14/2022,3.78,,no
09/16/2022,2000,,no
09/16/2022,21,,no
09/16/2022,3.78,,no
09/16/2022,1342.5,,yes
09/18/2022,1000,,no
09/18/2022,21,,no
09/18/2022,3.78,,no
09/18/2022,1000,,no
09/18/2022,21,,no
09/18/2022,3.78,,no
09/19/2022,3000,,no
09/19/2022,21,,no
09/19/2022,3.78,,no
09/19/2022,410,,yes
09/19/2022,100,,yes
09/20/2022,5000,,no
09/20/2022,21,,no
09/20/2022,3.78,,no
09/21/2022,800,,yes
09/21/2022,595,,yes
09/21/2022,1512,,yes
09/24/2022,10000,,no
09/24/2022,21,,no
09/24/2022,3.78,,no
09/24/2022,15,,yes
09/25/2022,35,,yes
09/25/2022,110,,yes
09/26/2022,287,,yes
09/27/2022,288,,yes
09/28/2022,5000,,yes
09/28/2022,21,,no
09/28/2022,3.78,,no
09/28/2022,100,,yes
09/29/2022,100,,yes
09/29/2022,100,,yes
09/29/2022,30,,yes
09/29/2022,2000,,no
09/29/2022,21,,no
09/29/2022,3.78,,no
09/29/2022,270,,yes
09/29/2022,149,,yes
09/29/2022,230,,yes
09/30/2022,149,,yes
09/30/2022,300,,yes
09/30/2022,310,,yes
10/1/2022,50,0,yes
10/1/2022,804,0,yes
10/2/2022,149,0,yes
10/4/2022,"4,000.00",0,no
10/4/2022,60,0,yes
10/8/2022,150,0,yes
10/11/2022,495,0,yes
10/12/2022,100,0,yes
10/13/2022,118,0,no
10/13/2022,"1,000.00",0,no
10/15/2022,"2,093.00",0,yes
10/16/2022,120,0,yes
10/16/2022,20,0,yes
10/17/2022,30,0,yes
10/18/2022,"1,000.00",0,no
10/19/2022,92,0,yes
10/19/2022,40,0,yes
10/20/2022,"1,000.00",,yes
10/20/2022,3.78,,no
10/20/2022,21,,no
10/20/2022,3.78,,no
10/21/2022,500,,no
10/21/2022,21,,no
10/21/2022,,"135,000.00",no
10/21/2022,"36,500.00",,no
10/22/2022,500,,no
10/22/2022,21,,no
10/22/2022,3.78,,no
10/22/2022,"3,000.00",,no
10/22/2022,21,,no
10/22/2022,3.78,,no
10/22/2022,"36,500.00",,no
10/22/2022,150,,yes
10/23/2022,500,,no
10/23/2022,21,,no
10/23/2022,3.78,,no
10/26/2022,"1,500.00",,no
10/26/2022,21,,no
10/26/2022,3.78,,no
10/27/2022,"3,000.00",,no
10/27/2022,21,,no
10/27/2022,3.78,,no
10/28/2022,149,,no
10/30/2022,500,,no
10/30/2022,21,,no
10/30/2022,3.78,,no
10/31/2022,"10,000.00",,no
10/31/2022,21,,no
10/31/2022,3.78,,no
11/2/2022,10,,yes
11/2/2022,340,,yes
11/4/2022,"5,000.00",,no
11/4/2022,"3,000.00",,yes
11/5/2022,20,,yes
11/7/2022,55,,yes
11/8/2022,"1,000.00",,yes
11/8/2022,"1,000.00",,no
11/9/2022,"4,000.00",,no
11/9/2022,200,,yes
11/10/2022,400,,yes
11/11/2022,150,,yes
11/11/2022,150,,yes
11/11/2022,220,,yes
11/12/2022,"6,000.00",,no
11/12/2022,21,,no
11/12/2022,3.78,,no
11/12/2022,,100,no
11/12/2022,15.2,,yes
11/12/2022,"1,640.00",,yes
11/14/2022,"2,011.00",,yes
11/14/2022,350,,yes
11/14/2022,"1,600.00",,yes
11/15/2022,55,,yes
11/15/2022,235,,yes
11/15/2022,35,,yes
11/15/2022,210,,yes
11/15/2022,47,,yes
11/16/2022,,"5,000.00",no
11/16/2022,100,,yes
11/16/2022,156,,yes
11/16/2022,120,,yes
11/16/2022,396,,yes
11/16/2022,180,,yes
11/17/2022,500,,yes
11/17/2022,21,,no
11/17/2022,3.78,,no
11/17/2022,150,,yes
11/18/2022,"1,500.00",,no
11/18/2022,21,,no
11/18/2022,"1,846.50",,yes
11/18/2022,"1,000.00",,no
11/18/2022,21,,no
11/18/2022,3.78,,no
11/18/2022,548,,no
11/19/2022,,"4,000.00",no
11/19/2022,14,,yes
11/19/2022,60,,no
11/19/2022,"1,115.00",,yes
11/19/2022,370,,yes
11/20/2022,14,,yes
11/20/2022,"1,300.00",,no
11/21/2022,"3,000.00",,no
11/21/2022,21,,no
11/21/2022,3.78,,yes
11/21/2022,55,,yes
